,Avg_FT_DPRRA,Avg_FT_RRA,,,l2Norm_DPRRA,l2Norm_RRA,,,Avg_CS_DPRRA,Avg_CS_RRA,,,Avg_TP_DPRRA,Avg_TP_RRA,,,Avg_TQ_DPRRA,Avg_TQ_RRA
1255,32.1904,9.11554,,1255,1308.09,361.63,,1255,1.46614,1.55139,,1255,0.0310651,0.109703,,1255,319.023,119
1280,33.5695,8.20703,,1280,1368.37,331.869,,1280,1.47109,1.52422,,1280,0.0297889,0.121847,,1280,323.394,124
1305,40.9663,8.99387,,1305,1674.61,363.017,,1305,1.5249,1.51494,,1305,0.0244103,0.111187,,1305,363.014,128
1330,37.4068,9.60902,,1330,1632.34,396.772,,1330,1.48045,1.55789,,1330,0.0267331,0.104069,,1330,351.217,125
1355,35.3196,9.55203,,1355,1501.34,404.15,,1355,1.48782,1.49373,,1355,0.0283129,0.10469,,1355,358.972,140
1380,34.7819,8.3971,,1380,1500.73,349.03,,1380,1.47391,1.49928,,1380,0.0287506,0.119089,,1380,370.401,140
1405,37.0598,9.4,,1405,1631.75,399.168,,1405,1.4911,1.49964,,1405,0.0269834,0.106383,,1405,378.387,140
1430,39.651,9.68531,,1430,1735.17,411.604,,1430,1.50559,1.5,,1430,0.02522,0.103249,,1430,402.882,142
1455,38.6962,9.45636,,1455,1806.81,407.528,,1455,1.49897,1.50928,,1455,0.0258423,0.105749,,1455,387.666,143
1480,44.4088,9.46622,,1480,2069.63,407.877,,1480,1.53919,1.53649,,1480,0.0225181,0.105639,,1480,409.306,142
1505,41.3867,9.54684,,1505,1810,415.382,,1505,1.52824,1.49568,,1505,0.0241623,0.104747,,1505,420.278,150
1530,39.2739,8.99281,,1530,1775.15,394.346,,1530,1.5085,1.49542,,1530,0.0254622,0.1112,,1530,435.95,158
1555,42.3653,9.13312,,1555,1871.22,402.239,,1555,1.54534,1.5119,,1555,0.0236042,0.109492,,1555,435.009,153
1580,39.5639,9.61076,,1580,1772.49,442.202,,1580,1.52975,1.49873,,1580,0.0252756,0.10405,,1580,441.47,161
1605,44.7975,8.44174,,1605,2103.16,377.175,,1605,1.5271,1.49782,,1605,0.0223227,0.118459,,1605,469.187,161
