,Avg_FT_DPRRA,Avg_FT_RRA,,,l2Norm_DPRRA,l2Norm_RRA,,,Avg_CS_DPRRA,Avg_CS_RRA,,,Avg_TP_DPRRA,Avg_TP_RRA,,,Avg_TQ_DPRRA,Avg_TQ_RRA
5155,57.7554,7.92784,,5155,6050.82,645.281,,5155,1.60815,1.51775,,5155,0.0173144,0.126138,,5155,1560.74,504
5180,58.6141,8.15483,,5180,5421.46,664.416,,5180,1.61351,1.49981,,5180,0.0170607,0.122627,,5180,1636.33,519
5205,52.3583,9.4415,,5205,4113.58,781.515,,5205,1.59232,1.50163,,5205,0.0190992,0.105915,,5205,1598.95,519
5230,48.2407,8.03308,,5230,4019.18,657.24,,5230,1.55641,1.5,,5230,0.0207294,0.124485,,5230,1532.26,526
5255,56.2177,8.06641,,5255,4410.5,664.105,,5255,1.62093,1.4999,,5255,0.017788,0.123971,,5255,1651.25,533
5280,59.0295,8.14735,,5280,5218.23,668.328,,5280,1.63314,1.50133,,5280,0.0169407,0.122739,,5280,1651.49,527
5305,57.8956,8.11744,,5305,4568.81,677.697,,5305,1.63845,1.50349,,5305,0.0172725,0.123192,,5305,1650.37,527
5330,58.0326,8.09493,,5330,5176.69,664.551,,5330,1.61895,1.49944,,5330,0.0172317,0.123534,,5330,1708.92,545
5355,55.6112,8.25285,,5355,4473.47,678.196,,5355,1.61979,1.50121,,5355,0.017982,0.12117,,5355,1628.05,534
5380,52.8377,8.3026,,5380,4260.37,689.883,,5380,1.59628,1.49907,,5380,0.0189259,0.120444,,5380,1655.01,543
5405,50.8309,7.96041,,5405,4079.75,667.101,,5405,1.58797,1.5086,,5405,0.0196731,0.125622,,5405,1597.24,533
5430,69.3626,8.65414,,5430,8541.23,734.419,,5430,1.65212,1.49926,,5430,0.014417,0.115552,,5430,1806.24,546
5455,57.9723,7.93822,,5455,5167.34,659.993,,5455,1.62456,1.49991,,5455,0.0172496,0.125973,,5455,1720.01,548
5480,57.2821,8.82062,,5480,7407.72,766.935,,5480,1.57865,1.50237,,5480,0.0174575,0.113371,,5480,1654.95,546
5505,56.6654,8.07902,,5505,4492.5,682.581,,5505,1.63415,1.50227,,5505,0.0176475,0.123777,,5505,1700.86,548
5530,53.4429,8.32043,,5530,4486.06,722.262,,5530,1.59783,1.49928,,5530,0.0187116,0.120186,,5530,1706.83,566
5555,53.3136,8.53267,,5555,4367.3,723.687,,5555,1.59172,1.49955,,5555,0.0187569,0.117197,,5555,1716.34,564
5580,58.2265,8.31649,,5580,5959.76,709.997,,5580,1.60896,1.4991,,5580,0.0171743,0.120243,,5580,1735.1,563
5605,55.4657,8.13845,,5605,4653.43,684.877,,5605,1.60357,1.49991,,5605,0.0180292,0.122874,,5605,1728.44,564
5630,61.094,8.24156,,5630,6053.74,694.419,,5630,1.62433,1.50337,,5630,0.0163682,0.121336,,5630,1759.76,560
5655,58.2916,8.47056,,5655,4798.46,726.169,,5655,1.61927,1.50416,,5655,0.0171551,0.118056,,5655,1795.59,562
5680,54.887,8.94718,,5680,4533.8,762.79,,5680,1.61743,1.50176,,5680,0.0182193,0.111767,,5680,1718.48,566
5705,54.2927,8.8589,,5705,5259.64,752.44,,5705,1.58124,1.51989,,5705,0.0184187,0.112881,,5705,1727.6,558
5730,54.7792,8.94555,,5730,4529.76,768.578,,5730,1.61047,1.52408,,5730,0.0182551,0.111787,,5730,1739.24,558
5755,42.387,8.7053,,5755,3745.92,738.702,,5755,1.51851,1.49991,,5755,0.0235922,0.114873,,5755,1620.68,580
5780,57.4242,7.92457,,5780,5073.12,675.891,,5780,1.61713,1.52007,,5780,0.0174143,0.12619,,5780,1769.36,564
5805,54.2529,8.64531,,5805,5151.92,779.559,,5805,1.59931,1.50715,,5805,0.0184322,0.11567,,5805,1742.64,576
5830,59.2396,8.27496,,5830,4886.71,735.585,,5830,1.64151,1.50343,,5830,0.0168806,0.120847,,5830,1837.62,580
5855,60.2565,7.81588,,5855,4934.89,671.912,,5855,1.65687,1.50009,,5855,0.0165957,0.127945,,5855,1874.36,587
5880,52.6935,8.72211,,5880,4502.14,790.485,,5880,1.58197,1.50663,,5880,0.0189777,0.114651,,5880,1787.14,584
5905,51.0391,8.71025,,5905,4559.98,755.865,,5905,1.56376,1.49975,,5905,0.0195928,0.114807,,5905,1802.76,594
5930,56.5578,7.92799,,5930,5024.51,691.58,,5930,1.60911,1.49966,,5930,0.017681,0.126135,,5930,1851.19,601
5955,49.3839,8.41192,,5955,4354.58,741.641,,5955,1.54945,1.49992,,5955,0.0202495,0.118879,,5955,1795.42,595
5980,55.5326,8.12776,,5980,5508.1,710.183,,5980,1.59799,1.49967,,5980,0.0180074,0.123035,,5980,1854.84,614
6005,55.8233,8.0831,,6005,4723.76,727.514,,6005,1.60899,1.49975,,6005,0.0179137,0.123715,,6005,1874.24,604
6030,58.6103,8.11675,,6030,5654.19,731.478,,6030,1.62338,1.50398,,6030,0.0170619,0.123202,,6030,1881.13,599
6055,67.0619,8.2114,,6055,8454.21,715.999,,6055,1.64773,1.50834,,6055,0.0149116,0.121782,,6055,1988.95,600
6080,52.7215,8.39128,,6080,4784.49,735.794,,6080,1.58701,1.49967,,6080,0.0189676,0.119171,,6080,1833.56,610
6105,53.6732,8.31302,,6105,4612.7,726.441,,6105,1.60066,1.49926,,6105,0.0186313,0.120293,,6105,1888.29,627
6130,57.5713,7.9522,,6130,4893.83,699.438,,6130,1.62382,1.51403,,6130,0.0173698,0.125751,,6130,1918.57,605
6155,66.3755,8.27847,,6155,13391.2,744.134,,6155,1.59675,1.50658,,6155,0.0150658,0.120795,,6155,1915.02,610
6180,57.3574,8.32443,,6180,5702.82,742.507,,6180,1.63301,1.50178,,6180,0.0174345,0.120128,,6180,1963.74,616
6205,50.9521,8.40629,,6205,4410.77,748.315,,6205,1.5863,1.49895,,6205,0.0196263,0.118959,,6205,1932.09,631
6230,46.9096,8.04543,,6230,4069.28,710.161,,6230,1.57929,1.49952,,6230,0.0213176,0.124294,,6230,1831.71,629
6255,50.4892,9.98337,,6255,4435.22,1217.76,,6255,1.59073,1.50759,,6255,0.0198062,0.100167,,6255,1880.28,620
6280,55.0645,8.31624,,6280,4836.89,740.127,,6280,1.60478,1.49936,,6280,0.0181605,0.120247,,6280,1940,634
6305,55.132,8.59128,,6305,4806.17,765.653,,6305,1.62268,1.49992,,6305,0.0181383,0.116397,,6305,1929.5,639
6330,56.0231,8.32559,,6330,4880.82,742.06,,6330,1.60853,1.49984,,6330,0.0178498,0.120112,,6330,1987.87,636
6355,59.9901,8.40157,,6355,5140.43,757.506,,6355,1.64406,1.49992,,6355,0.0166694,0.119025,,6355,2018.57,642
6380,53.0776,8.18229,,6380,4739.38,740.225,,6380,1.59875,1.50204,,6380,0.0188403,0.122215,,6380,1905.45,636
6405,53.1193,8.70461,,6405,4782.82,794.308,,6405,1.60125,1.49992,,6405,0.0188256,0.114882,,6405,1967.92,653
6430,53.4487,8.23624,,6430,4714.61,772.849,,6430,1.59876,1.49969,,6430,0.0187095,0.121415,,6430,1961.15,649
6455,58.2195,8.71836,,6455,5066.38,797.62,,6455,1.63284,1.49915,,6455,0.0171764,0.1147,,6455,2053.49,651
6480,51.5227,7.95772,,6480,4585.43,719.8,,6480,1.5892,1.49938,,6480,0.0194089,0.125664,,6480,1928.61,662
6505,54.3033,8.89562,,6505,5982.6,823.326,,6505,1.58909,1.51468,,6505,0.0184151,0.112415,,6505,1934.24,640
6530,45.7046,8.39877,,6530,5492.47,763.394,,6530,1.52649,1.49954,,6530,0.0218796,0.119065,,6530,1890.96,658
6555,51.5617,8.93105,,6555,4813.43,807.302,,6555,1.582,1.50679,,6555,0.0193942,0.111969,,6555,1980.35,650
6580,77.3807,9.29939,,6580,21925.5,851.193,,6580,1.60547,1.50593,,6580,0.0129231,0.107534,,6580,2101.59,654
6605,55.3204,8.69811,,6605,6050,796.119,,6605,1.59546,1.50386,,6605,0.0180765,0.114968,,6605,2039.49,657
6630,56.1997,8.13816,,6630,5127.1,743.521,,6630,1.61056,1.4994,,6630,0.0177937,0.122878,,6630,2101.93,663
6655,51.7382,8.4849,,6655,4878.82,775.221,,6655,1.58618,1.49962,,6655,0.0193281,0.117856,,6655,2005.27,673
6680,46.8693,9.07874,,6680,5055.62,832.154,,6680,1.54611,1.5,,6680,0.0213359,0.110147,,6680,1927.27,672
6705,48.5706,8.41924,,6705,4506.92,849.528,,6705,1.56212,1.50007,,6705,0.0205886,0.118776,,6705,1987.71,676
6730,57.5639,7.95498,,6730,6871.1,736.257,,6730,1.61233,1.5,,6730,0.017372,0.125707,,6730,2081.93,678
6755,52.1782,8.24634,,6755,4742.41,793.025,,6755,1.58001,1.50896,,6755,0.0191651,0.121266,,6755,2057.53,669
6780,42.6453,8.84041,,6780,4263.18,820.59,,6780,1.50914,1.49926,,6780,0.0234493,0.113117,,6780,1908.19,686
6805,59.9439,8.17134,,6805,5349.79,759.603,,6805,1.63497,1.5058,,6805,0.0166823,0.122379,,6805,2158.56,674
6830,53.7874,8.2205,,6830,6737.49,762.451,,6830,1.5754,1.49927,,6830,0.0185917,0.121647,,6830,2054.96,684
6855,56.8872,8.5043,,6855,5329.85,788.084,,6855,1.61021,1.5027,,6855,0.0175786,0.117588,,6855,2147.7,683
6880,57.6378,8.14535,,6880,5135.69,760.25,,6880,1.62544,1.50741,,6880,0.0173497,0.122769,,6880,2166.14,682
6905,56.7959,8.03678,,6905,5168.76,752.699,,6905,1.62056,1.50398,,6905,0.0176069,0.124428,,6905,2149.07,687
6930,55.0058,9.08052,,6930,5033.47,881.791,,6930,1.60952,1.50635,,6930,0.0181799,0.110126,,6930,2124.58,688
6955,57.261,8.26341,,6955,5534.98,803.939,,6955,1.6161,1.51359,,6955,0.0174639,0.121015,,6955,2146.61,687
6980,53.9383,8.66404,,6980,4940.01,813.924,,6980,1.60702,1.49986,,6980,0.0185397,0.11542,,6980,2159.29,711
7005,55.3597,8.65396,,7005,5168.17,835.354,,7005,1.61285,1.49979,,7005,0.0180637,0.115554,,7005,2143.94,701
7030,61.2484,8.10242,,7030,6559.67,767.203,,7030,1.63314,1.50512,,7030,0.016327,0.12342,,7030,2244.92,699
7055,52.8852,8.85698,,7055,5054.78,838.107,,7055,1.59419,1.4995,,7055,0.0189089,0.112905,,7055,2138.04,705
7080,64.7102,8.15763,,7080,10246.1,769.501,,7080,1.62825,1.50042,,7080,0.0154535,0.122585,,7080,2269.54,706
7105,55.894,8.38578,,7105,5294.36,793.952,,7105,1.61942,1.49979,,7105,0.017891,0.119249,,7105,2195.69,712
7130,55.202,8.51809,,7130,5102.7,814.594,,7130,1.60757,1.49916,,7130,0.0181153,0.117397,,7130,2214.39,714
7155,62.2602,8.40601,,7155,7442.86,821.465,,7155,1.6355,1.52802,,7155,0.0160616,0.118963,,7155,2238.14,695
7180,70.0202,8.6954,,7180,14586,830.093,,7180,1.63538,1.50669,,7180,0.0142816,0.115003,,7180,2322.96,712
7205,55.5105,7.9517,,7205,5046.26,759.614,,7205,1.62276,1.49979,,7205,0.0180146,0.125759,,7205,2336.44,736
7230,52.5256,8.59585,,7230,4954.34,853.84,,7230,1.5971,1.49986,,7230,0.0190383,0.116335,,7230,2177.78,726
7255,61.7843,8.68739,,7255,8363.7,837.596,,7255,1.60414,1.50172,,7255,0.0161853,0.115109,,7255,2295.42,723
7280,58.8251,8.27473,,7280,6141.86,810.278,,7280,1.63819,1.50247,,7280,0.0169995,0.12085,,7280,2272.14,726
7305,55.7589,7.98371,,7305,5767.65,764.733,,7305,1.60657,1.49938,,7305,0.0179343,0.125255,,7305,2232.67,730
7330,60.2207,8.87176,,7330,6749.68,874.394,,7330,1.62442,1.49959,,7330,0.0166056,0.112717,,7330,2348.68,742
7355,55.3225,8.64867,,7355,5227.18,853.155,,7355,1.60802,1.4998,,7355,0.0180758,0.115625,,7355,2292.56,747
7380,63.1439,8.60447,,7380,6393.89,854.503,,7380,1.65678,1.50149,,7380,0.0158368,0.116219,,7380,2373.46,736
7405,58.9444,8.47792,,7405,5633.04,823.587,,7405,1.63322,1.49993,,7405,0.0169652,0.117953,,7405,2328.7,741
7430,58.4213,8.38008,,7430,5879.41,822.501,,7430,1.62759,1.5175,,7430,0.0171171,0.119331,,7430,2303.36,729
7455,52.3575,8.25419,,7455,5029.93,804.364,,7455,1.59745,1.50637,,7455,0.0190995,0.121151,,7455,2212.94,740
7480,55.1575,8.56257,,7480,5386.24,833.579,,7480,1.60682,1.49947,,7480,0.0181299,0.116787,,7480,2309.72,756
7505,50.909,8.08461,,7505,4830.9,784.917,,7505,1.58321,1.49927,,7505,0.0196429,0.123692,,7505,2238.28,750
7530,57.477,8.46614,,7530,5359.6,850.791,,7530,1.62829,1.50558,,7530,0.0173983,0.118118,,7530,2362.64,748
7555,56.3345,8.16889,,7555,5361.02,798.332,,7555,1.6139,1.50761,,7555,0.0177511,0.122416,,7555,2363.12,749
7580,55.8092,8.22256,,7580,5222.16,809.778,,7580,1.62084,1.49921,,7580,0.0179182,0.121617,,7580,2349.08,762
7605,49.7261,8.56292,,7605,4950.38,848.421,,7605,1.56397,1.49954,,7605,0.0201102,0.116783,,7605,2274.39,774
7630,54.7868,8.30564,,7630,6358.13,820.191,,7630,1.6076,1.49961,,7630,0.0182526,0.1204,,7630,2353.86,765
7655,53.06,8.4563,,7655,5146.91,835.475,,7655,1.60496,1.4998,,7655,0.0188466,0.118255,,7655,2327.54,776
7680,52.4289,8.54518,,7680,5119.83,854.227,,7680,1.58411,1.49961,,7680,0.0190734,0.117025,,7680,2340.85,769
7705,57.8345,8.38404,,7705,5652.11,832.23,,7705,1.62648,1.51434,,7705,0.0172907,0.119274,,7705,2377.63,760
7730,56.8395,8.95679,,7730,5486.67,890.918,,7730,1.62173,1.5,,7730,0.0175934,0.111647,,7730,2453.8,790
7755,52.1518,8.46151,,7755,5023.5,869.383,,7755,1.60052,1.51154,,7755,0.0191748,0.118182,,7755,2309.42,765
7780,53.753,8.51067,,7780,5201.23,849.496,,7780,1.59974,1.50514,,7780,0.0186036,0.1175,,7780,2393.2,773
7805,57.3734,8.36079,,7805,5433.11,843.072,,7805,1.6255,1.53197,,7805,0.0174297,0.119606,,7805,2414.59,753
7830,55.663,9.0272,,7830,7921.09,894.41,,7830,1.59246,1.5092,,7830,0.0179653,0.110776,,7830,2339.88,776
7855,54.2363,8.13125,,7855,5257.76,810.645,,7855,1.60013,1.51712,,7855,0.0184378,0.122982,,7855,2391.81,772
7880,58.4744,8.32513,,7880,5751.32,828.367,,7880,1.61764,1.49962,,7880,0.0171015,0.120118,,7880,2518.16,794
7905,61.2412,8.88741,,7905,5944.1,891.375,,7905,1.64061,1.49943,,7905,0.0163289,0.112519,,7905,2576.84,801
7930,57.1855,8.95561,,7930,5588.35,950.123,,7930,1.6227,1.50113,,7930,0.017487,0.111662,,7930,2489.55,791
7955,58.3902,8.98416,,7955,7237.39,898.935,,7955,1.60679,1.50006,,7955,0.0171262,0.111307,,7955,2474.74,801
7980,54.3102,8.80614,,7980,5452.68,913.092,,7980,1.60213,1.49937,,7980,0.0184128,0.113557,,7980,2438.14,804
8005,60.2235,8.69107,,8005,8157.94,873.405,,8005,1.6045,1.5143,,8005,0.0166048,0.115061,,8005,2475.2,789
8030,59.3017,8.76214,,8030,5756.69,911.988,,8030,1.63599,1.50573,,8030,0.0168629,0.114127,,8030,2575.33,798
8055,52.1042,8.25785,,8055,5222.98,830.132,,8055,1.58932,1.49944,,8055,0.0191923,0.121097,,8055,2459.22,824
8080,58.2646,8.56473,,8080,5988.49,881.003,,8080,1.61807,1.49975,,8080,0.0171631,0.116758,,8080,2518.99,811
8105,59.7081,9.16225,,8105,5831.24,1128.92,,8105,1.62825,1.51055,,8105,0.0167482,0.109144,,8105,2578.77,803
8130,58.6344,8.20627,,8130,6520.69,828.818,,8130,1.62103,1.5139,,8130,0.0170548,0.121858,,8130,2557.41,801
8155,55.7354,8.46683,,8155,5477.19,856.881,,8155,1.61128,1.50006,,8155,0.0179419,0.118108,,8155,2555.61,820
8180,53.3825,8.82885,,8180,5261.46,909.181,,8180,1.59829,1.49988,,8180,0.0187327,0.113265,,8180,2503.8,822
8205,59.4165,8.483,,8205,5890.5,926.107,,8205,1.64217,1.5042,,8205,0.0168304,0.117883,,8205,2574.35,816
8230,60.3453,8.36719,,8230,6024.58,860.337,,8230,1.64131,1.49988,,8230,0.0165713,0.119514,,8230,2677.18,839
8255,55.3855,8.53035,,8255,5540.7,878.766,,8255,1.6212,1.51121,,8255,0.0180553,0.117229,,8255,2515.58,816
8280,53.8529,8.56473,,8280,5409.25,885.269,,8280,1.59674,1.49928,,8280,0.0185691,0.116758,,8280,2523.88,835
8305,54.6287,8.5894,,8305,5480.86,894.857,,8305,1.59856,1.50006,,8305,0.0183054,0.116423,,8305,2604.53,848
8330,51.8234,8.52581,,8330,5256.11,883.682,,8330,1.57755,1.51128,,8330,0.0192963,0.117291,,8330,2501.51,821
8355,60.9513,8.49862,,8355,6103.58,965.393,,8355,1.64057,1.50006,,8355,0.0164065,0.117666,,8355,2687.26,837
8380,54.1621,8.98723,,8380,5637.09,1012.49,,8380,1.58842,1.50537,,8380,0.0184631,0.111269,,8380,2586.48,833
8405,57.3124,7.96336,,8405,5876.68,823.426,,8405,1.62035,1.49946,,8405,0.0174482,0.125575,,8405,2625.94,850
8430,57.9288,8.56216,,8430,6639.97,919.669,,8430,1.61613,1.50605,,8430,0.0172626,0.116793,,8430,2635.44,838
8455,57.0273,8.75541,,8455,5625.7,1008.8,,8455,1.63099,1.49959,,8455,0.0175355,0.114215,,8455,2675.9,870
8480,55.5945,8.8362,,8480,5572.63,946.444,,8480,1.61368,1.50861,,8480,0.0179874,0.113171,,8480,2610.04,840
8505,56.4063,8.57225,,8505,5976.52,896.776,,8505,1.61529,1.49959,,8505,0.0177285,0.116655,,8505,2666.32,860
8530,57.2566,8.51864,,8530,5846.26,889.121,,8530,1.61547,1.49918,,8530,0.0174652,0.11739,,8530,2704.02,859
8555,53.3387,8.39345,,8555,5648.75,886.119,,8555,1.5993,1.49982,,8555,0.0187481,0.11914,,8555,2602.1,859
8580,51.6892,8.40629,,8580,5310.27,885.057,,8580,1.57331,1.49977,,8580,0.0193464,0.118958,,8580,2638.28,861
8605,57.8049,7.9606,,8605,5877.43,828.691,,8605,1.62568,1.50331,,8605,0.0172996,0.125619,,8605,2700.08,858
8630,57.6074,8.427,,8630,5733.35,882.377,,8630,1.63557,1.51414,,8630,0.0173589,0.118666,,8630,2688.65,850
8655,52.607,8.54708,,8655,5495.09,891.569,,8655,1.59746,1.4996,,8655,0.0190089,0.116999,,8655,2641.26,872
8680,55.756,8.15749,,8680,6635.36,851.431,,8680,1.60749,1.5,,8680,0.0179353,0.122587,,8680,2694.94,882
8705,53.7928,8.07616,,8705,5489.98,843.823,,8705,1.59759,1.50006,,8705,0.0185899,0.123821,,8705,2705.45,877
8730,55.4402,9.11581,,8730,5830.52,975.747,,8730,1.61145,1.50871,,8730,0.0180375,0.1097,,8730,2696.06,863
8755,55.0434,8.82867,,8755,5625,931.418,,8755,1.60434,1.49971,,8755,0.0181675,0.113267,,8755,2736.9,887
8780,56.1214,9.04715,,8780,5741.21,969.497,,8780,1.6156,1.50478,,8780,0.0178185,0.110532,,8780,2731.06,872
8805,59.5763,9.25168,,8805,5970.48,1009.55,,8805,1.65009,1.49972,,8805,0.0167852,0.108089,,8805,2773.27,882
8830,53.5475,8.54541,,8830,5371.12,961.229,,8830,1.6171,1.51653,,8830,0.018675,0.117022,,8830,2764.88,868
8855,52.0962,8.67849,,8855,5297.64,925.934,,8855,1.60757,1.50006,,8855,0.0191953,0.115227,,8855,2717.18,885
8880,48.268,8.39617,,8880,4955.66,898.669,,8880,1.5875,1.49989,,8880,0.0207177,0.119102,,8880,2657.14,897
8905,61.8557,8.17395,,8905,9479.15,876.693,,8905,1.61965,1.50006,,8905,0.0161667,0.12234,,8905,2846.85,892
8930,53.1639,8.21713,,8930,5683.41,875.183,,8930,1.58343,1.50817,,8930,0.0188097,0.121697,,8930,2713.73,886
8955,52.4538,9.00045,,8955,5469.55,965.299,,8955,1.58693,1.49994,,8955,0.0190644,0.111106,,8955,2757.29,905
8980,59.0572,8.11392,,8980,6904.37,861.615,,8980,1.63096,1.51971,,8980,0.0169327,0.123245,,8980,2790.27,879
9005,54.6542,8.85042,,9005,5614.16,961.78,,9005,1.61233,1.49972,,9005,0.0182969,0.112989,,9005,2792.65,907
9030,53.876,9.12802,,9030,5640.53,983.533,,9030,1.60022,1.49967,,9030,0.0185612,0.109553,,9030,2769.41,905
9055,59.4846,8.95461,,9055,6125.1,985.33,,9055,1.63512,1.50558,,9055,0.0168111,0.111674,,9055,2897.69,900
9080,57.7725,8.65363,,9080,5868.37,934.403,,9080,1.63227,1.49945,,9080,0.0173093,0.115558,,9080,2862.96,910
9105,49.5634,9.07644,,9105,5188.32,984.074,,9105,1.58254,1.49973,,9105,0.0201762,0.110175,,9105,2694.24,917
9130,53.1092,8.7517,,9130,5865.23,961.054,,9130,1.58631,1.50329,,9130,0.0188291,0.114264,,9130,2765.44,909
9155,57.8807,8.72004,,9155,6028.1,950.074,,9155,1.62338,1.49973,,9155,0.0172769,0.114678,,9155,2928.12,921
9180,59.0569,8.68126,,9180,6660.76,984.881,,9180,1.62571,1.50316,,9180,0.0169328,0.115191,,9180,2907.61,915
9205,53.7995,8.70527,,9205,5577.2,958.303,,9205,1.59957,1.49962,,9205,0.0185875,0.114873,,9205,2820.41,921
9230,52.0195,8.76598,,9230,5486.49,962.768,,9230,1.59155,1.50748,,9230,0.0192236,0.114077,,9230,2736.62,916
9255,55.7116,8.60735,,9255,5805.79,947.285,,9255,1.61448,1.50254,,9255,0.0179496,0.11618,,9255,2878.52,922
9280,49.3557,8.60474,,9280,5529.73,1007.69,,9280,1.56929,1.50884,,9280,0.0202611,0.116215,,9280,2721.91,918
9305,55.8792,8.92542,,9305,5802.83,971.803,,9305,1.61257,1.505,,9305,0.0178957,0.11204,,9305,2875.69,926
9330,58.1973,8.56474,,9330,7067.88,932.634,,9330,1.61919,1.50118,,9330,0.0171829,0.116758,,9330,2900.99,931
9355,54.5494,8.89396,,9355,5824.97,991.588,,9355,1.60577,1.49963,,9355,0.018332,0.112436,,9355,2874.02,935
9380,50.559,8.60362,,9380,5421.88,961.861,,9380,1.57868,1.50629,,9380,0.0197789,0.11623,,9380,2804.53,931
9405,52.9195,8.91143,,9405,5649.6,993.853,,9405,1.58969,1.51813,,9405,0.0188966,0.112215,,9405,2830.69,922
9430,56.7719,8.84433,,9430,6240.77,986.58,,9430,1.61803,1.50318,,9430,0.0176143,0.113067,,9430,2960.46,940
9455,57.5978,8.42401,,9455,6176.22,925.768,,9455,1.62485,1.51243,,9455,0.0173618,0.118708,,9455,2942.82,935
9480,55.0694,8.97732,,9480,5868.32,992.37,,9480,1.6115,1.50707,,9480,0.0181589,0.111392,,9480,2891.99,941
9505,52.8452,8.08353,,9505,5646.62,881.536,,9505,1.59527,1.503,,9505,0.0189232,0.123708,,9505,2891.55,947
9530,57.6598,8.88562,,9530,6599.49,1069.65,,9530,1.61605,1.49948,,9530,0.0173431,0.112541,,9530,3033.49,969
9555,58.107,8.18482,,9555,6158.85,903.784,,9555,1.6337,1.49995,,9555,0.0172096,0.122177,,9555,3034.56,962
9580,56.559,9.1715,,9580,6126.99,1034.91,,9580,1.61441,1.52004,,9580,0.0176807,0.109033,,9580,2975.96,939
9605,57.9834,8.27902,,9605,6359.85,919.871,,9605,1.62946,1.50828,,9605,0.0172463,0.120787,,9605,2989.04,952
9630,49.4568,8.53718,,9630,5671.85,941.815,,9630,1.5675,1.51703,,9630,0.0202197,0.117135,,9630,2834.45,945
9655,54.8247,8.54293,,9655,5818.58,954.643,,9655,1.61709,1.51279,,9655,0.01824,0.117056,,9655,2942.25,954
9680,57.8345,8.52769,,9680,6339.01,953.935,,9680,1.61932,1.5,,9680,0.0172907,0.117265,,9680,3044.34,969
9705,51.6089,9.11613,,9705,5613.43,1009.98,,9705,1.58331,1.49964,,9705,0.0193765,0.109696,,9705,2956.27,976
9730,55.6059,8.81984,,9730,6024.52,1062.42,,9730,1.61871,1.49938,,9730,0.0179837,0.113381,,9730,3012.2,979
9755,54.4999,8.59026,,9755,5933.33,959.849,,9755,1.60195,1.50569,,9755,0.0183486,0.116411,,9755,2979.26,969
9780,57.7679,8.47996,,9780,6404.79,986.195,,9780,1.61963,1.49939,,9780,0.0173107,0.117925,,9780,3065.96,988
9805,57.1874,8.28251,,9805,7277.4,922.74,,9805,1.60051,1.50393,,9805,0.0174864,0.120736,,9805,3093.49,976
9830,55.6049,8.71933,,9830,6250.27,1061.4,,9830,1.60285,1.50743,,9830,0.017984,0.114688,,9830,3051.09,976
9855,52.8535,8.37169,,9855,5728.77,937.618,,9855,1.5999,1.49985,,9855,0.0189202,0.11945,,9855,2996.97,989
9880,57.2185,8.58512,,9880,6035.45,980.831,,9880,1.63715,1.4998,,9880,0.0174769,0.116481,,9880,3142.56,997
9905,60.0282,9.10136,,9905,8386.99,1040.7,,9905,1.6207,1.49985,,9905,0.0166588,0.109874,,9905,3123.44,994
9930,57.0094,8.3857,,9930,6150.49,941.851,,9930,1.62115,1.5,,9930,0.017541,0.119251,,9930,3101.15,995
9955,56.4743,8.0225,,9955,6033.58,904.128,,9955,1.62883,1.50387,,9955,0.0177072,0.124649,,9955,3101.7,992
9980,51.7946,8.60882,,9980,5658.01,977.072,,9980,1.58858,1.5,,9980,0.019307,0.11616,,9980,3036.62,1008
10005,54.1555,8.31694,,10005,5943.21,932.3,,10005,1.6041,1.49965,,10005,0.0184653,0.120237,,10005,3105.88,1016
10030,56.5361,8.69601,,10030,6236.08,982.585,,10030,1.61486,1.5,,10030,0.0176878,0.114995,,10030,3192.37,1025
10055,56.5592,9.14053,,10055,6186.91,1037.01,,10055,1.62894,1.49935,,10055,0.0176806,0.109403,,10055,3141.09,1014
10080,53.23,8.15704,,10080,5823.55,925.014,,10080,1.59752,1.50833,,10080,0.0187864,0.122593,,10080,3080.31,1000
10105,57.2841,8.85779,,10105,7004.23,1005.94,,10105,1.61712,1.49995,,10105,0.0174568,0.112895,,10105,3173.82,1011
10130,58.3622,8.54265,,10130,6331.65,999.649,,10130,1.64018,1.5,,10130,0.0171344,0.11706,,10130,3218.73,1018
10155,57.2006,8.63525,,10155,6313.91,997.244,,10155,1.61034,1.49995,,10155,0.0174823,0.115804,,10155,3213.52,1016
10180,55.4434,8.76051,,10180,6040.48,1022.41,,10180,1.62289,1.50275,,10180,0.0180364,0.114149,,10180,3132.4,1014
10205,63.7795,8.61225,,10205,10638.1,984.824,,10205,1.64292,1.49995,,10205,0.015679,0.116114,,10205,3296.3,1021
10230,56.8437,8.96637,,10230,6188.39,1075.77,,10230,1.62336,1.5,,10230,0.0175921,0.111528,,10230,3240.76,1031
10255,59.301,9.58654,,10255,7281.02,1155.42,,10255,1.6234,1.50102,,10255,0.0168631,0.104313,,10255,3247.1,1023
10280,61.4854,9.01148,,10280,6737.05,1086.2,,10280,1.65049,1.4999,,10280,0.016264,0.11097,,10280,3322.55,1034
10305,57.2398,8.49937,,10305,6574.46,980.428,,10305,1.61902,1.49927,,10305,0.0174704,0.117656,,10305,3282.59,1056
10330,57.2844,8.60252,,10330,6343.13,987.425,,10330,1.62769,1.49981,,10330,0.0174568,0.116245,,10330,3265.15,1045
10355,60.7422,8.48585,,10355,6739.72,981.388,,10355,1.645,1.49995,,10355,0.016463,0.117843,,10355,3331.78,1037
10380,60.9703,8.7817,,10380,6625.98,1046.22,,10380,1.64875,1.50164,,10380,0.0164014,0.113873,,10380,3325.42,1036
